"Id","SepalLengthCm","SepalWidthCm","PetalLengthCm","PetalWidthCm","Species"
"1","51","35","14","2","Iris-setosa"
"2","49","30","14","2","Iris-setosa"
"3","47","32","13","2","Iris-setosa"
"4","46","31","15","2","Iris-setosa"
"5","50","36","14","2","Iris-setosa"
"6","70","32","47","14","Iris-versicolor"
"7","64","32","45","15","Iris-versicolor"
"8","69","31","49","15","Iris-versicolor"
"9","55","23","40","13","Iris-versicolor"
"10","65","28","46","15","Iris-versicolor"
"11","63","33","60","25","Iris-virginica"
"12","58","27","51","19","Iris-virginica"
"13","71","30","59","21","Iris-virginica"
"14","63","29","56","18","Iris-virginica"
"15","65","30","58","22","Iris-virginica"
